1	SP	Chris_Sale	Chris Sale	27	9	1	0.9	2.29	11	11	0	3	1	0	78.2	53	21	20	6	16	0	76	3	0	1	302	171	2.89	0.877	6.1	0.7	1.8	8.7	4.75
2	SP	Jose_Quintana	Jose Quintana	27	5	4	0.556	2.22	10	10	0	0	0	0	65	54	17	16	1	12	0	60	2	1	6	254	176	2.11	1.015	7.5	0.1	1.7	8.3	5
3	SP	Carlos_Rodon	Carlos Rodon	23	2	4	0.333	4.24	10	10	0	0	0	0	57.1	64	30	27	8	21	2	54	1	0	2	255	92	4.19	1.483	10	1.3	3.3	8.5	2.57
4	SP	Mat_Latos	Mat Latos	28	6	1	0.857	4.06	9	9	0	0	0	0	51	54	23	23	8	18	1	26	1	0	1	221	96	5.25	1.412	9.5	1.4	3.2	4.6	1.44
5	SP	Miguel_Gonzalez	Miguel Gonzalez	32	0	1	0	4.5	5	5	0	0	0	0	28	33	14	14	4	10	0	24	2	0	2	127	88	4.54	1.536	10.6	1.3	3.2	7.7	2.4
6	SP	John_Danks	John Danks	31	0	4	0	7.25	4	4	0	0	0	0	22.1	28	20	18	5	11	0	16	0	0	1	100	55	6.06	1.746	11.3	2	4.4	6.4	1.45
7	CL	David_Robertson	David Robertson	31	0	0	0	3.72	18	0	14	0	0	12	19.1	12	8	8	0	9	0	23	0	0	0	77	106	2.13	1.086	5.6	0	4.2	10.7	2.56
8	RP	Zach_Putnam	Zach Putnam	28	1	0	1	2.49	18	0	6	0	0	0	21.2	17	6	6	1	6	1	22	0	0	2	86	159	2.51	1.062	7.1	0.4	2.5	9.1	3.67
9	RP	Matt_Albers	Matt Albers	33	1	4	0.2	4.29	23	0	6	0	0	0	21	21	12	10	4	6	0	14	1	0	1	87	92	5.25	1.286	9	1.7	2.6	6	2.33
10	RP	Nate_Jones	Nate Jones	30	2	1	0.667	3.66	22	0	5	0	0	1	19.2	13	8	8	2	6	0	19	3	0	1	82	108	3.87	0.966	5.9	0.9	2.7	8.7	3.17
11	RP	Zach_Duke	Zach Duke	33	0	0	0	3.63	27	0	4	0	0	0	17.1	17	7	7	1	6	2	16	0	0	1	73	109	3.05	1.327	8.8	0.5	3.1	8.3	2.67
12	0	Dan_Jennings	Dan Jennings	29	1	1	0.5	2.53	16	0	4	0	0	0	21.1	19	7	6	0	10	0	13	1	0	3	89	156	3.44	1.359	8	0	4.2	5.5	1.3
13	0	Erik_Johnson	Erik Johnson	26	0	2	0	6.94	2	2	0	0	0	0	11.2	14	9	9	5	6	0	11	0	0	0	53	58	8.34	1.714	10.8	3.9	4.6	8.5	1.83
14	0	Jake_Petricka	Jake Petricka	28	0	0	0	4.5	9	0	1	0	0	0	8	8	5	4	1	8	0	7	0	0	3	39	91	5.98	2	9	1.1	9	7.9	0.88
15	0	Matt_Purke	Matt Purke	25	0	0	0	0	3	0	2	0	0	0	5.2	4	0	0	0	0	0	1	0	0	0	21	0	2.76	0.706	6.4	0	0	1.6	0
16	0	Tommy_Kahnle	Tommy Kahnle	26	0	1	0	2.7	4	0	3	0	0	0	3.1	2	1	1	0	4	2	1	0	0	1	15	161	6.11	1.8	5.4	0	10.8	2.7	0.25
17	0	Scott_Carroll	Scott Carroll	31	0	0	0	11.57	3	0	2	0	0	0	2.1	2	3	3	0	1	0	2	1	0	0	10	39	3.97	1.286	7.7	0	3.9	7.7	2
18	0	Daniel_Webb	Daniel Webb	26	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	1	0	3	0	0	0	6	0	0.11	3	18	0	9	27	3
